Fichier;Titre_actuel;Auteur_actuel;Score;Confiance;Règles;Titre_corrigé;Auteur_corrigé
Cave, La - Thomas Bernhard.epub;Bernhard, Thomas;Cave, La;130;CERTAIN;Format 'Nom, Prénom' dans le TITRE | Article défini en fin d'AUTEUR;Cave, La;Bernhard, Thomas
Doppelgänger _ William Wilson - Edgar Allan Poe.epub;Poe, Edgar Allan;Doppelgänger _ William Wilson;270;CERTAIN;Format 'Nom, Prénom' dans le TITRE | Auteur connu trouvé dans le TITRE | Auteur n'est pas au format standard | Nom d'auteur connu 'Poe' dans TITRE;Doppelgänger _ William Wilson;Poe, Edgar Allan
"The Belly of Paris; Or, the Fat and the Thin (Le Ventre De _. - Emile Zola.epub";Zola, Emile;"The Belly of Paris; Or, the Fat and the Thin (Le Ventre De _.";240;CERTAIN;Format 'Nom, Prénom' dans le TITRE | Auteur connu trouvé dans le TITRE | Nom d'auteur connu 'Zola' dans TITRE;"The Belly of Paris; Or, the Fat and the Thin (Le Ventre De _.";Zola, Emile
Terminus radieux - Antoine Volodine.epub;Volodine, Antoine;Terminus radieux;270;CERTAIN;Format 'Nom, Prénom' dans le TITRE | Auteur connu trouvé dans le TITRE | Auteur n'est pas au format standard | Nom d'auteur connu 'Volodine' dans TITRE;Terminus radieux;Volodine, Antoine
Nord Contre Sud (Dodo Press) - Jules Verne.epub;Verne, Jules;Nord Contre Sud (Dodo Press);270;CERTAIN;Format 'Nom, Prénom' dans le TITRE | Auteur connu trouvé dans le TITRE | Auteur n'est pas au format standard | Nom d'auteur connu 'Verne' dans TITRE;Nord Contre Sud (Dodo Press);Verne, Jules
Rhin, Tome IV, Le - Victor Hugo.epub;Hugo, Victor;Rhin, Tome IV, Le;330;CERTAIN;Format 'Nom, Prénom' dans le TITRE | Auteur connu trouvé dans le TITRE | Article défini en fin d'AUTEUR | Mots-clés de titre dans AUTEUR | Nom d'auteur connu 'Hugo' dans TITRE;Rhin, Tome IV, Le;Hugo, Victor
Poèmes - Jean Jaurès.epub;Jaurès, Jean;Poèmes;110;CERTAIN;Format 'Nom, Prénom' dans le TITRE | Auteur n'est pas au format standard;Poèmes;Jaurès, Jean
Dissolution - C. J. Sansom.epub;Sansom, C. J.;Dissolution;170;CERTAIN;Format 'Nom, Prénom' dans le TITRE | Auteur n'est pas au format standard | Nom d'auteur connu 'Sansom' dans TITRE;Dissolution;Sansom, C. J.
Lieutenant Conrad_ le sombre dimanche de Herrlisdorf, Le - Carl Spitteler.epub;Spitteler, Carl;Lieutenant Conrad_ le sombre dimanche de Herrlisdorf, Le;130;CERTAIN;Format 'Nom, Prénom' dans le TITRE | Article défini en fin d'AUTEUR;Lieutenant Conrad_ le sombre dimanche de Herrlisdorf, Le;Spitteler, Carl
Yamabuki - Aki Shimazaki.epub;Shimazaki, Aki;Yamabuki;270;CERTAIN;Format 'Nom, Prénom' dans le TITRE | Auteur connu trouvé dans le TITRE | Auteur n'est pas au format standard | Nom d'auteur connu 'Shimazaki' dans TITRE;Yamabuki;Shimazaki, Aki
